Variable Name,Variable Label,Type,Format,Role,Description
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.
DOMAIN,Domain Abbreviation,Char,,Identifier,"2-character abbreviation for the domain, which must be ""TT""."
RSTGCD,Repro Stage Code,Char,,Topic,Short name of the Repro Stage used for programming and sorting. Maximum 8 characters.
RSTAGE,Description of Repro Stage,Char,,Synonym Qualifier of RSTGCD,The name of the Repro Stage.
TTSTRL,Rule for Start of Repro Stage,Char,,Rule,Expresses the rule for beginning the Repro Stage.
TTENRL,Rule for End of Repro Stage,Char,,Rule,Expresses the rule for ending the Repro Stage. Either TTENRL or TTDUR must be present for each Repro Stage.
TTDUR,Planned Duration of Repro Stage,Char,ISO 8601,Timing,Planned Duration of Repro Stage. Used when the rule for ending the Repro Stage is applied after a fixed duration.
